n_estimators,max_depth,score
55,14,0.6390103556910183
59,1,0.38664782139469916
62,2,0.6272128852632508
65,3,0.7313703339129639
68,4,0.7876915119926251
71,5,0.8048026422864043
74,6,0.8091129955853409
77,7,0.8124551896929582
80,8,0.7868658128356656
83,9,0.7530067821915303
86,10,0.7205035073795664
89,11,0.664929209605496
92,12,0.6610951222451336
95,13,0.6225360455779755
98,14,0.6354217855813941
102,1,0.45777379562435205
105,2,0.6843451531311744
108,3,0.7600145354745211
111,4,0.8035680758077854
114,5,0.8126752012378149
117,6,0.8137029192645463
120,7,0.8101324533758673
123,8,0.7901961251770886
126,9,0.7510692452416572
129,10,0.7119444055916322
132,11,0.6569495016464488
135,12,0.6553891244670247
138,13,0.6199355750586912
141,14,0.634367123756223
145,1,0.49712754355744837
148,2,0.7130924417802993
6,3,0.3166856819157977
9,4,0.5013612290894087
12,5,0.6450496988678271
15,6,0.7146382977409165
18,7,0.7565549280165005
21,8,0.7596863096381635
24,9,0.7347881652142445
27,10,0.7124889800415246
30,11,0.6624502329291896
33,12,0.6618269311462355
36,13,0.6349519939708956
39,14,0.6318306054234045
43,1,0.34535769706205566
46,2,0.5837559743176193
49,3,0.713089341280247
52,4,0.7752381764542366
55,5,0.7996515919030185
58,6,0.8111331596276161
61,7,0.813048700305739
64,8,0.783497139261266
67,9,0.7493517759382538
70,10,0.7151438468447505
73,11,0.6554998038062312
76,12,0.6549258456207258
79,13,0.631947086917755
82,14,0.6260021746102432
86,1,0.435526165358907
89,2,0.6702715856555375
92,3,0.7523897348101319
95,4,0.7980648475296256
98,5,0.8098553581476539
101,6,0.8136821399545691
104,7,0.809029819921002
107,8,0.787295797654054
110,9,0.7517972917283832
113,10,0.7165959539124485
116,11,0.6723643171725566
119,12,0.6516864472305263
122,13,0.6356209716535313
125,14,0.623420757917479
129,1,0.48461766210487833
132,2,0.7038423095474683
135,3,0.7694603721783859
138,4,0.8067166184834242
141,5,0.8156168315600751
144,6,0.8179669620645187
147,7,0.8114241271641722
5,8,0.4934617827014272
8,9,0.615817091138424
11,10,0.6618572927287383
14,11,0.6589307216315963
17,12,0.6665355829887045
20,13,0.6584941307335581
23,14,0.651754454395125
27,1,0.2793896028665579
30,2,0.5108239640380716
33,3,0.6658566110393579
36,4,0.7548585245318702
39,5,0.7847355674054439
42,6,0.8012962156185065
45,7,0.8039721597470243
48,8,0.7931806729987008
51,9,0.7448201994912548
54,10,0.7152593579135827
57,11,0.6584603435079748
60,12,0.6571500640531515
63,13,0.6377759714847548
66,14,0.6361874729668611
70,1,0.41006033760511124
73,2,0.6485214191626538
76,3,0.7410824155948875
79,4,0.7914673222658569
82,5,0.8084699663249534
85,6,0.8116662970692743
88,7,0.8125133773648563
91,8,0.792621641653508
94,9,0.7495354475749292
97,10,0.7166236773665227
100,11,0.6581289174544356
103,12,0.65763722456105
106,13,0.6381815871914496
109,14,0.6278990748830529
113,1,0.4686436706562068
116,2,0.6935775349124824
119,3,0.7640573457459031
122,4,0.8077869314220947
125,5,0.8125444979990308
128,6,0.8183349782065176
131,7,0.8105757960306961
134,8,0.7884553572893335
137,9,0.750729534624935
140,10,0.7172590393988071
143,11,0.6684721656931625
146,12,0.6584298030325441
149,13,0.6339235778617389
7,14,0.5546908415975694
11,1,0.16160331484108917
14,2,0.3686681171805464
17,3,0.551059866681491
20,4,0.6839028283771198
23,5,0.7556541454721748
26,6,0.7839182348272196
29,7,0.7882912961100034
32,8,0.7783126060341886
35,9,0.7435483430580277
38,10,0.7149360626353257
41,11,0.6610095767437935
44,12,0.6583760782803139
47,13,0.6304884182050515
50,14,0.6328896309992413
54,1,0.37224415159768376
57,2,0.6185476198251156
60,3,0.7266254320107896
63,4,0.7848247605983645
66,5,0.8016082220175591
69,6,0.8117567316669296
72,7,0.8091844901846272
75,8,0.7926127965156994
78,9,0.749266901706815
81,10,0.7126036519552279
84,11,0.6568396685399818
87,12,0.6528646707387802
90,13,0.6302200563906089
93,14,0.6383700796631063
97,1,0.45118102315821706
100,2,0.6782939433869686
103,3,0.7583462917535861
106,4,0.8003302484746442
109,5,0.8123746714146236
112,6,0.8121348924460831
115,7,0.8122848570606259
118,8,0.791507437068774
121,9,0.7488124237181941
124,10,0.71833333797804
127,11,0.659901881029351
130,12,0.6521265122200981
133,13,0.6252264662301925
136,14,0.633362576216503
140,1,0.49352564225647844
143,2,0.7100189854976748
146,3,0.7723675247140493
149,4,0.8097528842522019
7,5,0.49974633194286266
10,6,0.6273647763540362
13,7,0.7098665620732605
16,8,0.7294201859067786
19,9,0.7291372148064228
22,10,0.7163440808951259
25,11,0.6700844166219053
28,12,0.6675465316466964
31,13,0.6435531503484033
34,14,0.6384493459437495
38,1,0.3233296747043038
41,2,0.5681524713552275
44,3,0.7023254659341981
47,4,0.7714455818609218
50,5,0.792381536939067
53,6,0.8066208889748772
56,7,0.8067898230607367
59,8,0.7890603033782295
62,9,0.7478020890828927
65,10,0.7123182613296708
68,11,0.6607931616315403
71,12,0.6512202921316439
74,13,0.6349131189370151
77,14,0.6330933945274156
81,1,0.42748490913975823
84,2,0.6654529794387916
87,3,0.7499924164640961
90,4,0.7975618250148576
93,5,0.8090429604256972
96,6,0.8109497251489961
99,7,0.8124764773299662
102,8,0.790978176674084
105,9,0.7541444778347176
108,10,0.7140256205888442
111,11,0.6640687183518554
114,12,0.6599068778438717
117,13,0.634284063075377
120,14,0.6281017404459763
124,1,0.4800442059411986
127,2,0.7013270447605493
130,3,0.7683268134671891
133,4,0.8083421739533472
136,5,0.8155476188118447
139,6,0.811368311682681
142,7,0.8123158614166317
145,8,0.7856958525225486
148,9,0.752733228302484
6,10,0.543969913188906
9,11,0.6007841716817504
12,12,0.6473634862837605
15,13,0.6528353586816196
