n_neighbors,algorithm,cv,dataset,score
31,kd_tree,2,digits_data,0.9237621113288459
32,kd_tree,2,digits_data,0.9232053184557947
33,kd_tree,2,digits_data,0.9226485255827435
34,kd_tree,2,digits_data,0.9226479062358324
35,kd_tree,2,digits_data,0.9215361785304632
36,kd_tree,2,digits_data,0.9204225927843608
37,kd_tree,2,digits_data,0.9170836935867867
38,kd_tree,2,digits_data,0.9170830742398755
39,kd_tree,2,digits_data,0.915969488493773
40,kd_tree,2,digits_data,0.918751594818296
41,kd_tree,2,digits_data,0.915969488493773
42,kd_tree,2,digits_data,0.9148559027476706
43,kd_tree,2,digits_data,0.915968249799951
44,kd_tree,2,digits_data,0.9165262813668242
45,kd_tree,2,digits_data,0.915969488493773
46,kd_tree,2,digits_data,0.9159701078406841
47,kd_tree,2,digits_data,0.9143003485684416
48,kd_tree,2,digits_data,0.9131873821692502
49,kd_tree,2,digits_data,0.909848482971676
3,brute,2,digits_data,0.9593788941437034
4,brute,2,digits_data,0.9543683776331534
5,brute,2,digits_data,0.953256030580873
6,brute,2,digits_data,0.9493609578571588
7,brute,2,digits_data,0.9493609578571588
8,brute,2,digits_data,0.9488060230248407
9,brute,2,digits_data,0.9454665044803556
10,brute,2,digits_data,0.9482504688456117
11,brute,2,digits_data,0.9437986032488461
12,brute,2,digits_data,0.9421288439766036
13,brute,2,digits_data,0.9387887060852073
14,brute,2,digits_data,0.9393479763459027
15,brute,2,digits_data,0.9399022918313097
16,brute,2,digits_data,0.9399022918313097
17,brute,2,digits_data,0.938231913212156
18,brute,2,digits_data,0.9399035305251318
19,brute,2,digits_data,0.9387899447790293
20,brute,2,digits_data,0.9387899447790293
21,brute,2,digits_data,0.9387893254321183
22,brute,2,digits_data,0.9382331519059781
23,brute,2,digits_data,0.9365627732868245
24,brute,2,digits_data,0.9354504262345442
25,brute,2,digits_data,0.9348923946676708
26,brute,2,digits_data,0.9337800476153906
27,brute,2,digits_data,0.932665842522377
28,brute,2,digits_data,0.9315528761231856
29,brute,2,digits_data,0.9287701504517516
30,brute,2,digits_data,0.924317665508075
31,brute,2,digits_data,0.9237621113288459
32,brute,2,digits_data,0.9232053184557947
33,brute,2,digits_data,0.9220917327096922
34,brute,2,digits_data,0.9226479062358324
35,brute,2,digits_data,0.9215361785304632
36,brute,2,digits_data,0.9204225927843608
37,brute,2,digits_data,0.9170836935867867
38,brute,2,digits_data,0.9165269007137353
39,brute,2,digits_data,0.915969488493773
40,brute,2,digits_data,0.918751594818296
41,brute,2,digits_data,0.915969488493773
42,brute,2,digits_data,0.9148559027476706
43,brute,2,digits_data,0.915968249799951
